StudentID,LastName,FirstName,CumGPA,BcpmGPA,MMICalc,RosterYear,GraduationYear,Graduated,GraduationLength,Status
319,,,3.86,,,2013,2017,True,4.0,Grad
607,,,3.63,,,2013,2018,True,5.0,Grad Delayed
567,,,3.31,,,2013,2017,True,4.0,Grad
787,,,3.57,,,2013,2018,True,5.0,Grad Delayed
747,,,3.68,,,2013,2017,True,4.0,Grad
506,,,3.91,,,2013,,False,,Drop
845,,,3.21,,,2013,2017,True,4.0,Grad
320,,,3.92,,,2013,2017,True,4.0,Grad
868,,,3.08,,,2013,2017,True,4.0,Grad
537,,,3.0,,,2013,2017,True,4.0,Grad
361,,,3.26,,,2013,2017,True,4.0,Grad
813,,,3.51,,,2013,2017,True,4.0,Grad
769,,,3.51,,,2013,2017,True,4.0,Grad
345,,,3.69,,,2013,2018,True,5.0,Grad Delayed
102,,,3.81,,,2013,2017,True,4.0,Grad
344,,,3.24,,,2013,2017,True,4.0,Grad
815,,,3.73,,,2013,2017,True,4.0,Grad
508,,,3.74,,,2013,2017,True,4.0,Grad
314,,,3.79,,,2013,2017,True,4.0,Grad
781,,,3.86,,,2014,2018,True,4.0,Grad
652,,,3.33,,,2014,2019,True,5.0,Grad Delayed
736,,,3.94,,,2014,2018,True,4.0,Grad
571,,,3.8,,,2014,,False,,Drop
732,,,4.0,,,2014,2018,True,4.0,Grad
497,,,3.77,,,2014,2018,True,4.0,Grad
911,,,3.84,,,2014,2018,True,4.0,Grad
520,,,3.45,,,2014,2018,True,4.0,Grad
115,,,3.64,,,2014,2018,True,4.0,Grad
553,,,3.85,,,2014,,False,,Drop
113,,,3.77,,,2014,2018,True,4.0,Grad
770,,,3.7,,,2014,2018,True,4.0,Grad
880,,,3.78,,,2014,2018,True,4.0,Grad
201,,,3.51,,,2014,2019,True,5.0,Grad Delayed (enrich)
193,,,3.95,,,2014,2018,True,4.0,Grad
483,,,3.15,,,2014,2018,True,4.0,Grad
660,,,3.62,,,2014,2018,True,4.0,Grad
373,,,3.98,,,2014,2018,True,4.0,Grad
206,,,3.99,,,2014,2018,True,4.0,Grad
400,,,3.92,,,2014,2018,True,4.0,Grad
463,,,3.09,,,2014,2018,True,4.0,Grad
763,,,3.94,,,2014,2018,True,4.0,Grad
170,,,3.91,,,2014,2018,True,4.0,Grad
461,,,3.42,,,2014,,False,,Drop
759,,,3.61,,,2014,2018,True,4.0,Grad
511,,,3.82,,,2014,2018,True,4.0,Grad
604,,,3.62,,,2014,2018,True,4.0,Grad
666,,,3.91,,,2014,2018,True,4.0,Grad
242,,,3.44,,,2014,2018,True,4.0,Grad
849,,,3.89,,,2014,2018,True,4.0,Grad
703,,,3.98,,,2014,2018,True,4.0,Grad
773,,,3.58,,,2014,2018,True,4.0,Grad
477,,,3.85,,,2014,2018,True,4.0,Grad
